token_id,name,birthplace_trait,birthplace_value,ethnicity_trait,ethnicity_value,occupation_trait,occupation_value,special_trait,special_trait_value,merkle_root,proof
1,0x5468657365757369646573,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x4b3133c06a5497f1f54e77a87dec7c8e26720a15fd889d99f97f880898b8208,0x7cb9f7e626f51df2323aa4f7b04fad91b148c0c79029faca0898edd9c449ef,0x456ce991eab61b455527dc34cc71c39458b0000cf75065344e15747e4a147c8,0x2b59f1b6509226b9d8ad9b694693948cddcc73741293d0a302738a707b5acd0,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
2,0x5a656e6f656e6f72,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x39700eb020980ac70d454eddb11de58a4a4e899790e2676f968e3d230aa27df,0x7cb9f7e626f51df2323aa4f7b04fad91b148c0c79029faca0898edd9c449ef,0x456ce991eab61b455527dc34cc71c39458b0000cf75065344e15747e4a147c8,0x2b59f1b6509226b9d8ad9b694693948cddcc73741293d0a302738a707b5acd0,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
3,0x4865726f646f74757369646573,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x2e08b5a582e767ac1baf254382963b0f1dd831f42a7f9098c9159a27ed7166f,0x3b7ab6b446a39b6b64465c5dd6e3d6c093de166fc8c5563a95de0eeafb36ab3,0x292009d7dc299225eea8ebaa43f29da732fbf92ea79241283cbf2c3b45ec30f,0x2b59f1b6509226b9d8ad9b694693948cddcc73741293d0a302738a707b5acd0,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
4,0x44616d6173696173696f6e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0xca90286bfb94abe008250ac06498bf1b110594a7092ff4cdc59b90f15b6e10,0x3b7ab6b446a39b6b64465c5dd6e3d6c093de166fc8c5563a95de0eeafb36ab3,0x292009d7dc299225eea8ebaa43f29da732fbf92ea79241283cbf2c3b45ec30f,0x2b59f1b6509226b9d8ad9b694693948cddcc73741293d0a302738a707b5acd0,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
5,0x53696d6f6e6964657369646573,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x41646d6972616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x4d50c4ea2cc0a38c4ab926f2fe1b421e4641b6c6fddf29231aab3521dc21f92,0x378e4744536e54372e9eab2138a5aaa70ad8e1476d8e7bd4e6194b6e2378cad,0x292009d7dc299225eea8ebaa43f29da732fbf92ea79241283cbf2c3b45ec30f,0x2b59f1b6509226b9d8ad9b694693948cddcc73741293d0a302738a707b5acd0,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
6,0x4172697374617263687573616e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x4e213ff38f856c43ced860099a8b1506e0dabfe5e6275ecbbdb14914c1bc495,0x378e4744536e54372e9eab2138a5aaa70ad8e1476d8e7bd4e6194b6e2378cad,0x292009d7dc299225eea8ebaa43f29da732fbf92ea79241283cbf2c3b45ec30f,0x2b59f1b6509226b9d8ad9b694693948cddcc73741293d0a302738a707b5acd0,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
7,0x44696f636c65736f6e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x547265617375726572,special_trait,0x546865204d6f6e6579204d616e,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x7e9a363830aa9716b07fa01815c76aebdade60756f16dcd22ad69fa01068f5,0x210ac9a7da8d062df2ab6b0adba614aababc328b70710ceb8ac3e56c6b1416c,0x43bf22a6b30e0555c491c47a5a9a7af5bb10a4fb447b318a971800af7855d01,0x35d249af69a968d149503a8181c28df188d8a518cf7b1d8bc7e0fd2438e3aca,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
8,0x41727269616e616e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x47656e6572616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x513a74256a9e40a5ee109ce364bc35c5eec4953f9daa3d0c61def06c5a5952d,0x210ac9a7da8d062df2ab6b0adba614aababc328b70710ceb8ac3e56c6b1416c,0x43bf22a6b30e0555c491c47a5a9a7af5bb10a4fb447b318a971800af7855d01,0x35d249af69a968d149503a8181c28df188d8a518cf7b1d8bc7e0fd2438e3aca,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
9,0x4c6575636970707573616e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x41646d6972616c,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x5f1ce24e4256406adbaddf3e6b7e687134c4bf84b7d65c78782d4bdf55b4221,0x6692d6257702c7c032fae417d58a375fa1387c553d1039c5d7d37c0b105fc13,0x43bf22a6b30e0555c491c47a5a9a7af5bb10a4fb447b318a971800af7855d01,0x35d249af69a968d149503a8181c28df188d8a518cf7b1d8bc7e0fd2438e3aca,0x8c716ef984c8f0d28eaeb3953cbe744fd801666fc72b6ba76ab73783ffe7e7,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
16,0x486970706f6372617465736f6e,birthplace,0x57657374204d616365646f6e6961,ethnicity,0x4d616365646f6e69616e73,occupation,0x5374617465736d616e,special_trait,0x4e6f6e65,0x6e1ca6734406be8b8390672e63de35b020172fb415d4f5e6ed604c628c3802b,"0x133cee743a5d447ff8a722c73ab1712e57f3fd08dab2c7e4e338831446a616a,0x48763eacd9f0f9d6b611e75e56afa1222243d6ff56684d504102bb6bba95c7f,0x7f0238aad1e3d8e299413748f6d595e5a8bf2f589f58ffbadf88dd3a1013817,0x4b6f46448d24da7dec593ac244d8a41d9fdd38f11b3705042b3e548dded95f4,0x642af14a0f0c3e5bf558b248a0e4a3c2fc71f49409be2c10f7444e5156dc81a,0x1ea5f6c1e9b55ab8c90c0ec054bd26e73cd2315c321cf8ebc6dcfe6825996a3,0x3269866fed3f1037dd0842c0377789813059a5f161408cf69540a545b5b98f7,0x670931d08fd6143ff56c710e7133b3772beac178ce5e94f4c2fc46752212690,0x418ef66924acf7ee380515d2d9403cc6305eb8591b2f13eb089b78535e86719,0x7e006e3e813a9c414b5319e8000bb9ff236cc0f3d9df5bf93e3bd3bcf5590c8,0x56cfa47a8c941147f8d668abc703883d9bce3d629b5a25641578f06ba633948"
